Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
342677465,"25 Jun 2015, 11:18:35",06/25/2015 Bow Brickhill lunch repeats x3,Ride,"",3012,12.14,,false,,activities/388102154.fit.gz
342677469,"11 Jun 2015, 16:50:28",06/11/2015 OU Club social ride,Ride,"",7015,47.41,,false,,activities/388102146.fit.gz
342677473,"16 May 2015, 09:01:48","05/16/2015 Pedal of Honour, United Kingdom",Ride,"",21573,84.01,,false,,activities/388102140.fit.gz
342677481,"9 Jul 2015, 16:34:27",07/09/2015 OU Club social ride,Ride,"",6524,40.35,,false,,activities/388102171.fit.gz
349783693,"19 Jul 2015, 12:01:01",07/19/2015 To Lee Valley White Water Centre,Ride,"",3944,24.23,83,false,,activities/396253727.fit.gz
349783711,"19 Jul 2015, 13:40:25",07/19/2015 From Lee Valley White Water Centre,Ride,Garmin crashed 2/3 of the way back.,2876,16.50,88,false,,activities/396253740.fit.gz
351458234,"22 Jul 2015, 07:37:13",07/22/2015 Garage to work,Ride,"",817,4.66,,false,,activities/398140336.fit.gz
351515197,"22 Jul 2015, 11:08:53",07/22/2015 BCTP Beg. wk 1 - ride with Ben,Ride,"1 hour ride, aiming for cadence 80+ and HR zones 1&2 (roughly <165 bpm?)",3320,23.96,30,false,,activities/398199406.fit.gz
353564233,"22 Jul 2015, 15:59:04",07/22/2015 Garage to OU,Ride,"",693,3.74,,false,,activities/400330759.fit.gz
353564275,"25 Jul 2015, 08:31:51",07/25/2015 BCTP wk 1 Threshold test - 177 bpm,Ride,"20 min warm up
30 min hard (calculate bpm average for last 20 min)
10 min cooldown then return to berkhamstead",4442,30.11,70,false,,activities/400330769.fit.gz
354282375,"26 Jul 2015, 08:17:29",07/26/2015 BCTP wk 1 Sunday ride,Ride,Wet wet wet. Supposed to be HR zones 1 & 2 but think I was pushing more than that...,5868,35.75,89,false,,activities/401083020.fit.gz
356659806,"29 Jul 2015, 14:35:53",07/29/2015 Olney BCTP Wk 2 - mid week ride,Ride,"",5173,37.01,91,false,,activities/403558246.fit.gz
358480063,"1 Aug 2015, 07:25:10",08/01/2015 BCTP wk 2 Saturday ride to Elstree,Ride,"",4160,24.78,72,false,,activities/405465784.fit.gz
359270656,"2 Aug 2015, 07:50:35",08/02/2015 BCTP wk 2 Sunday ride to Trent Park,Ride,"",4974,33.13,77,false,,activities/406301486.fit.gz
361720770,"5 Aug 2015, 11:10:06",08/05/2015 BCTP wk 3 - midweek ride from OU,Ride,"",3247,24.28,61,false,,activities/408933199.fit.gz
362707868,"6 Aug 2015, 16:32:02",08/06/2015 OUCC Social ride - Lidlington,Ride,"Sunny, comfortable, sat mid-group",6248,44.15,63,false,,activities/409994443.fit.gz
364676163,"8 Aug 2015, 16:19:48",08/08/2015 San Diego chilled Saturday ride w/ ADH,Ride,"Garmin ran out of battery, was a steady casual ride, warm, stopped for yoga session on the way out. Hired Giant Defy 3 from The Bike Revolution (6th street)",22815,57.35,,false,,activities/412126368.fit.gz
367724249,"12 Aug 2015, 23:48:54",08/12/2015 San Diego to Point Loma and back,Ride,Garmin lost tracking :/,2645,10.52,,false,,activities/415472452.fit.gz
368418813,"13 Aug 2015, 17:40:45",08/13/2015 San Diego to Coronado,Ride,"",5942,30.00,,false,,activities/416197306.fit.gz
368418855,"13 Aug 2015, 20:15:03",08/13/2015 Coronado back to San Diego,Ride,"",5353,32.40,,false,,activities/416197387.fit.gz
369035193,"14 Aug 2015, 14:14:31","08/14/2015 San Diego, California",Ride,"To Torres Pines, via Mount Soledad there and back.",23744,67.85,,false,,activities/416837220.fit.gz
371299679,"15 Aug 2015, 14:37:00",08/15/2015 San Diego short ride to Balboa Park,Ride,"",6667,17.68,,false,,activities/419214178.fit.gz
377033607,"23 Aug 2015, 17:29:31",To Hampstead for dinner,Ride,"",783,3.57,,false,,activities/425218017.fit.gz
377038083,"23 Aug 2015, 19:04:31",Evening Ride,Ride,,93,0.49,,false,,activities/425222623.fit.gz
377038292,"25 Aug 2015, 11:19:26",Midweek BCTP ride,Ride,"On my own, windy, but well rested.",3444,24.64,71,false,,activities/425222834.fit.gz
377948532,"26 Aug 2015, 15:55:48",Woburn loop up Bow Brickhill,Ride,"Afternoon ride, backwards normal loop",3435,24.34,71,false,,activities/426164629.fit.gz
379446651,"28 Aug 2015, 16:18:52",Afternoon Ride,Ride,,3267,24.30,,false,,activities/427752175.fit.gz
382644946,"1 Sep 2015, 17:01:11",Evening Ride,Ride,,3317,24.42,85,false,,activities/431124507.fit.gz
384804758,"4 Sep 2015, 16:08:52",Fri Afternoon ride,Ride,Tested new 1 hour route,3633,27.04,103,false,,activities/433365420.fit.gz
386135877,"6 Sep 2015, 11:36:46",Sunday lunchtime loop into London,Ride,Eugh traffic and traffic lights...,4476,24.20,66,false,,activities/434757217.fit.gz
387087194,"7 Sep 2015, 16:29:35",Afternoon Ride,Ride,,3655,28.33,140,false,,activities/435752546.fit.gz
389329081,"10 Sep 2015, 16:47:02",OUCC social ride - Potsgrove,Ride,"",5071,36.58,99,false,,activities/438073486.fit.gz
389955364,"11 Sep 2015, 16:16:44",Afternoon Ride,Ride,,3435,26.81,99,false,,activities/438723029.fit.gz
391417407,"13 Sep 2015, 14:04:10",Chilled recovery ride with C,Ride,"",3475,20.75,13,false,,activities/440246807.fit.gz
394071616,"17 Sep 2015, 11:16:42",OUCC lunch ride - Lidlington,Ride,Hanging on at the back behind the lunch-time riders.,5066,37.57,70,false,,activities/442989755.fit.gz
397166572,"21 Sep 2015, 09:42:37",Newquay to Lands End,Ride,"Turns out Cornwall is hilly.
SW ride into a SW wind...",12140,72.01,157,false,,activities/446258027.fit.gz
398526895,"23 Sep 2015, 09:34:13",Newquay to Port Isaac via Padstow,Ride,Ascending-descending practice!,7750,47.02,236,false,,activities/447659108.fit.gz
